
Class                 FriendlyName                                                                   InstanceId        
SoftwareDevice        Wi-Fi                                                                          SWD\RADIO\{DC0F...
System                Qualcomm(R) Power Management PMIC Device                                       ACPI\QCOM0C2B\2...
Computer              LENOVO 91B6001CUK                                                              SWD\COMPUTER\MF...
SoftwareComponent     Universal Device Client Device Plugins                                         SWD\DRIVERENUM\...
MEDIA                 Qualcomm(R) Aqstic(TM)                                                         ADCM\VEN_QCOM&D...
Firmware              Device Firmware                                                                UEFI\RES_{94ECD...
System                Qualcomm(R) Subsys Base Thermal Mitigation Device                              ACPI\QCOM06E5\2...
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C58\0   
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C58\1   
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C59\0   
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C59\1   
HIDClass              HID-compliant system controller                                                HID\CONVERTEDDE...
HIDClass              USB Input Device                                                               USB\VID_17EF&PI...
SecurityDevices       Microsoft Pluton security processor                                            ROOT\PLUTONQC\0000
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Qualcomm Temperature Sensor Device                                             ACPI\QCOM0C5A\1   
WPD                   Data                                                                           SWD\WPDBUSENUM\...
System                NDIS Virtual Network Adapter Enumerator                                        ROOT\NDISVIRTUA...
System                Qualcomm ADC Temperature Monitor Device                                        ACPI\QCOM0C5E\0   
System                Qualcomm ADC Temperature Monitor Device                                        ACPI\QCOM0C5F\0   
HIDClass              USB Input Device                                                               USB\VID_1C4F&PI...
Monitor               Generic Monitor (LF24T450G)                                                    DISPLAY\SAM71C7...
HIDClass              Converted Portable Device Control device                                       BUTTONCONVERTER...
HIDClass              USB Input Device                                                               USB\VID_1A2C&PI...
Bluetooth             Qualcomm FastConnect 7800 Dual Bluetooth Adapter                               QCA_SHB\UART_H4...
Keyboard              HID Keyboard Device                                                            HID\VID_1A2C&PI...
System                Qualcomm CPU DCVS Policy Device                                                ACPI\VEN_QCOM&D...
Monitor               Generic Monitor (VX2452 Series)                                                DISPLAY\VSCDE2E...
Bluetooth             Bluetooth Device (RFCOMM Protocol TDI)                                         BTH\MS_RFCOMM\4...
AudioProcessingObject Qualcomm ASD Audio Proxy APO                                                   SWD\DRIVERENUM\...
System                Qualcomm(R) Power Management PMIC GLink Device                                 ACPI\QCOM0C8E\2...
System                Qualcomm WLAN Limits Policy Device                                             ACPI\VEN_QCOM&D...
System                Qualcomm(R) Inter Processor Communication Interrupt Device                     ACPI\QCOM06C2\0   
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
Keyboard              HID Keyboard Device                                                            HID\VID_1C4F&PI...
System                PCI Express Root Port                                                          PCI\VEN_17CB&DE...
System                Qualcomm(R) Bam Bus Device                                                     ACPI\QCOM0C0A\1   
System                Qualcomm(R) Bam Bus Device                                                     ACPI\QCOM0C0A\5   
